;Estadio;Equipo;Aforo;Lat;Lon;Provincia
1;Santiago Bernabéu;Real Madrid;81044;40,453063;-3,688313;MADRID
2;Civitas Metropolitano;Atlético de Madrid;70460;40,436188;-3,599438;MADRID
3;Benito Villamarín;Real Betis;60721;37,356437;-5,981687;SEVILLA
4;San Mamés;Athletic Club;53289;43,264187;-2,949313;BIZKAIA
5;Olímpic Lluís Companys;FC Barcelona;49472;41,364812;2,155812;BARCELONA
6;Mestalla;Valencia CF;49430;39,474688;-0,358563;VALENCIA / VALÈNCIA
7;Ramón Sánchez-Pizjuán;Sevilla FC;43883;37,384062;-5,970937;SEVILLA
8;Reale Arena;Real Sociedad;39313;43,301313;-1,973562;GIPUZKOA
9;Estadio de Gran Canaria;UD Las Palmas;32400;28,100313;-15,456688;PALMAS (LAS)
10;Mallorca Son Moix;RCD Mallorca;26020;39,589938;2,630063;BALEARS (ILLES)
11;Abanca Balaídos;RC Celta;24870;42,211938;-8,739688;PONTEVEDRA
12;El Sadar;CA Osasuna;23576;42,796688;-1,637062;NAVARRA
13;La Cerámica;Villarreal CF;23500;39,943938;-0,103187;CASTELLÓN / CASTELLÓ
14;Nuevo Mirandilla;Cádiz CF;21094;36,502562;-6,272937;CÁDIZ
15;Mendizorroza;Deportivo Alavés;19840;42,837063;-2,688187;ARABA/ÁLAVA
16;Nuevo Los Cármenes;Granada CF;19336;37,152938;-3,595687;GRANADA
17;Power Horse Stadium;UD Almería;18331;36,840063;-2,435437;ALMERÍA
18;Coliseum Alfonso Pérez;Getafe CF;16800;40,325688;-3,714938;MADRID
19;Campo de fútbol de Vallecas;Rayo Vallecano;14708;40,392063;-3,658688;MADRID
20;Montilivi;Girona FC;14624;41,961062;2,827813;GIRONA
